player_id,Age,Gender,HCP,Driver,Driver_Dispersion,3-Wood,3-Wood_Dispersion,5-Wood,5-Wood_Dispersion,3-Hybrid,3-Hybrid_Dispersion,4-Hybrid,4-Hybrid_Dispersion,5-Hybrid,5-Hybrid_Dispersion,4-Iron,4-Iron_Dispersion,5-Iron,5-Iron_Dispersion,6-Iron,6-Iron_Dispersion,7-Iron,7-Iron_Dispersion,8-Iron,8-Iron_Dispersion,9-Iron,9-Iron_Dispersion,PW,PW_Dispersion,GW,GW_Dispersion,SW,SW_Dispersion,LW,LW_Dispersion
33,27,Female,21.7,167.3,38.5,153.1,20.8,,,,,,,112.9,13.4,141.3,14.4,,,,,104.7,17.1,94.2,9.7,92.2,11.3,80.9,4.9,,,70.9,9.1,65.0,6.4
34,34,Male,12.2,206.5,18.3,,,,,212.0,11.1,,,,,,,193.1,15.6,155.7,16.5,147.2,12.4,155.3,7.8,147.1,5.4,130.5,8.6,,,116.8,5.3,,
35,25,Male,11.8,281.8,20.0,228.4,30.6,196.4,18.9,,,,,,,,,186.1,19.3,177.7,16.9,158.9,15.0,143.3,8.7,117.4,10.2,118.8,5.7,130.8,6.3,90.8,7.2,,
36,18,Male,22.1,195.3,22.0,154.1,23.4,,,,,,,148.9,20.2,,,,,128.1,18.9,119.4,11.1,107.6,12.4,110.1,5.8,107.1,7.9,,,88.5,7.3,74.9,9.3
37,18,Female,20.0,176.8,18.8,150.5,23.1,137.5,25.9,,,,,128.2,15.0,,,130.8,10.9,115.2,11.4,90.8,14.7,99.7,11.7,105.6,9.1,81.7,6.3,,,66.8,7.1,62.8,5.7
38,40,Male,34.1,140.8,37.1,,,,,,,,,,,,,,,105.1,18.6,97.1,14.9,87.7,7.3,80.5,5.7,71.0,8.6,,,65.0,8.7,,
39,27,Male,21.5,206.4,25.5,179.7,18.4,,,,,,,,,,,,,160.5,18.9,136.1,8.7,116.3,14.8,114.2,8.0,106.6,7.9,,,90.7,7.1,,
40,46,Female,19.6,183.7,32.0,140.8,17.7,,,,,,,119.1,14.0,,,,,117.3,17.4,111.8,15.3,94.4,7.0,79.6,7.1,76.0,3.9,78.0,3.7,75.4,8.7,,
41,48,Female,10.1,196.3,18.1,175.3,16.9,,,,,,,134.0,9.4,,,145.6,14.2,140.3,9.4,122.9,11.1,112.5,8.8,101.0,9.4,94.2,6.1,88.5,5.9,73.6,8.9,77.0,8.7
42,49,Female,6.2,198.9,14.0,178.4,13.6,,,158.8,15.7,,,,,156.1,14.0,148.1,11.9,138.2,11.8,127.5,9.5,118.6,6.7,109.7,5.5,99.0,6.6,93.6,3.7,86.5,5.3,,
43,30,Male,25.4,178.8,38.3,,,,,,,,,,,,,127.1,20.5,127.8,11.0,111.5,13.5,103.1,14.0,101.1,5.2,98.3,8.7,,,84.6,6.2,,
44,28,Male,0.3,304.1,20.8,268.9,18.2,254.9,16.8,239.8,12.2,,,,,,,213.0,7.6,203.0,10.0,190.1,11.7,,,,,152.3,5.2,141.9,4.0,130.7,6.1,,
45,24,Male,6.0,284.5,19.2,240.0,22.7,237.7,13.4,,,,,,,205.6,9.6,194.2,13.1,189.9,13.5,186.0,7.0,146.1,6.3,158.1,5.0,137.9,6.4,,,116.4,3.7,99.1,6.3
46,49,Female,19.7,111.5,18.9,134.3,25.2,,,,,,,,,,,,,88.8,17.2,93.9,9.8,109.9,8.5,87.8,9.8,69.1,5.3,70.4,3.9,68.0,6.4,,
47,33,Male,31.3,147.5,39.9,124.5,34.3,,,,,,,,,,,,,94.0,19.4,97.8,13.3,104.5,7.1,84.5,11.4,71.3,7.5,,,80.5,9.4,58.5,9.2
48,45,Male,8.4,252.4,15.3,,,,,,,,,183.8,13.4,,,,,167.0,13.4,155.2,8.8,148.6,7.1,,,127.1,3.8,,,108.8,5.1,98.9,5.9
49,37,Female,32.9,138.6,34.2,100.0,19.7,,,,,,,,,,,88.0,19.7,100.1,18.6,74.0,14.1,66.5,10.5,72.9,10.5,58.0,9.7,52.5,10.0,48.5,5.3,51.8,10.0
50,57,Female,27.4,111.5,38.1,,,,,,,,,80.0,16.1,,,,,77.5,12.9,73.7,9.9,75.4,9.7,67.7,7.8,61.0,7.5,52.5,4.8,62.3,8.8,50.0,10.2
51,30,Female,8.5,210.3,27.2,191.9,24.2,,,,,,,,,,,146.1,8.1,137.5,8.8,124.1,6.7,,,114.3,7.4,97.6,5.3,100.0,5.1,92.4,5.3,81.1,7.5
52,34,Male,6.1,280.6,23.4,241.0,21.0,230.4,18.5,208.5,18.9,,,,,,,200.4,13.5,,,171.7,7.4,160.8,7.9,144.4,8.3,142.0,4.5,128.8,6.5,120.4,5.7,107.0,6.3
53,39,Male,12.4,248.8,35.6,218.5,20.0,,,,,,,,,184.9,17.1,167.6,17.8,156.5,14.9,151.5,15.3,145.8,8.0,139.7,7.7,122.3,8.2,,,108.0,8.6,,
54,31,Male,8.9,264.1,24.2,,,219.0,14.6,,,,,,,196.8,8.6,190.5,10.4,179.8,7.6,162.1,9.3,151.4,6.8,139.5,4.0,136.2,4.2,116.6,5.6,113.1,3.6,,
55,44,Female,3.4,221.7,17.3,198.9,16.0,,,173.3,11.8,,,,,171.0,9.1,162.1,7.0,154.4,13.6,140.9,5.7,,,119.7,7.8,107.8,3.3,,,94.4,5.7,89.5,8.4
56,39,Male,16.4,237.3,28.1,176.9,28.5,,,,,,,,,,,,,153.7,14.6,144.6,14.6,132.9,6.8,123.6,7.6,118.0,8.8,112.3,6.3,98.7,7.3,,
57,34,Female,19.2,178.5,23.8,136.8,21.2,,,,,,,121.0,17.2,,,,,126.3,11.0,109.8,9.1,89.2,11.7,101.2,9.9,90.5,8.1,78.4,3.6,69.5,6.5,70.3,7.5
58,33,Female,18.7,197.6,28.0,162.9,20.1,,,,,,,,,,,112.6,16.2,112.5,14.0,109.5,11.4,106.1,7.6,97.2,5.9,105.1,7.9,,,83.9,8.5,,
59,22,Male,27.7,160.2,32.4,165.5,33.0,,,,,,,,,,,,,,,116.4,11.2,100.0,7.7,107.3,9.1,87.1,5.3,71.3,9.7,67.8,5.6,68.6,9.2
60,43,Male,24.1,180.7,32.6,138.2,34.8,,,,,,,,,,,,,123.7,14.1,133.7,17.5,123.2,7.5,123.0,7.7,92.0,7.2,,,77.4,5.8,,
61,19,Male,25.4,196.6,33.6,,,,,,,,,118.0,16.3,,,,,120.9,14.6,124.4,12.7,102.3,11.9,106.4,10.7,101.2,9.9,103.8,9.0,62.3,9.3,81.4,11.2
62,57,Female,28.4,156.8,23.6,,,,,,,,,,,,,92.0,11.5,101.2,19.5,87.4,17.0,77.8,13.4,61.5,11.6,55.5,4.7,71.5,8.5,60.5,5.9,,
63,25,Male,33.4,154.7,26.9,,,,,,,,,,,,,,,95.1,13.1,100.8,10.3,87.1,13.3,82.9,5.4,71.0,4.5,70.2,5.2,71.7,7.6,60.0,10.6
64,54,Male,28.0,145.4,32.7,,,,,,,,,113.9,17.4,,,,,128.0,16.8,88.0,12.7,95.7,12.7,87.0,5.1,73.5,7.2,70.3,4.2,60.5,5.5,64.9,5.7
65,42,Male,15.5,239.3,21.6,187.6,24.9,,,,,,,,,,,139.5,11.5,164.1,16.8,136.8,13.2,134.7,7.6,130.0,10.0,112.5,6.0,107.1,7.2,83.3,6.4,81.3,6.4
66,45,Male,35.7,140.8,25.3,124.5,22.7,,,,,,,,,,,,,95.2,12.5,88.0,17.8,95.1,8.0,76.0,9.0,71.0,5.7,,,60.5,9.0,,
67,42,Male,6.0,276.0,18.0,250.0,15.9,235.0,13.9,217.9,17.1,,,187.2,12.5,,,193.9,8.1,,,178.2,11.5,160.7,8.9,147.5,5.9,140.8,4.2,,,116.5,4.6,,
68,19,Male,1.4,304.1,14.1,261.8,12.9,245.5,15.8,229.1,13.6,,,,,225.7,10.3,198.6,10.6,203.0,11.5,177.0,6.0,173.4,5.8,162.3,7.7,153.4,5.4,,,130.7,6.4,118.8,4.1
69,53,Female,11.4,164.5,30.8,,,,,144.7,19.7,,,,,,,,,,,114.0,12.6,107.6,9.7,102.1,5.2,82.8,6.4,,,83.4,6.2,,
70,51,Male,15.7,200.4,33.9,193.7,31.1,165.7,21.9,,,,,,,150.8,12.7,,,134.2,15.1,113.5,14.4,110.6,11.4,118.9,4.7,114.7,8.3,98.0,8.0,97.1,9.0,73.2,9.7
71,55,Male,3.6,244.6,25.9,213.7,14.8,195.8,15.9,,,,,,,185.2,15.0,171.3,8.8,160.7,11.9,153.3,8.5,144.8,5.7,130.7,6.3,124.0,4.4,,,105.7,4.2,,
72,49,Male,29.2,147.5,30.4,125.5,27.4,,,,,,,,,,,,,94.0,13.8,88.0,13.4,82.0,10.7,99.2,11.8,86.6,9.6,,,74.8,5.3,,
73,30,Male,11.3,253.7,34.3,207.3,31.2,,,,,,,174.3,10.4,,,188.2,10.9,168.2,17.4,163.4,8.8,122.3,8.0,128.0,10.4,118.4,7.9,,,123.6,7.3,,
74,20,Male,22.6,218.5,28.4,175.2,32.6,177.5,28.0,,,,,,,,,,,127.7,18.3,129.3,12.6,,,120.4,11.5,94.8,6.1,99.2,8.4,92.7,9.5,,
75,39,Male,7.3,271.4,17.0,228.2,19.4,228.9,11.6,,,198.6,11.3,,,204.0,16.3,190.9,7.6,181.8,10.6,165.5,11.8,157.0,5.3,152.7,3.8,136.3,3.8,,,123.1,3.9,,
76,20,Female,2.9,236.4,16.5,207.5,20.9,,,,,175.8,8.7,165.9,10.4,181.7,16.2,166.0,14.6,159.6,10.1,149.4,9.4,139.1,6.3,125.2,7.7,114.9,5.3,108.9,3.0,100.3,4.6,,
77,31,Male,0.1,295.5,17.2,268.9,20.3,254.9,18.9,,,,,,,,,213.1,9.0,193.9,9.5,190.1,6.1,177.1,6.6,158.4,3.7,150.1,4.0,,,130.7,4.4,,
78,44,Male,36.0,140.8,31.6,124.5,26.7,118.0,22.8,,,,,100.0,10.2,,,,,94.0,17.4,88.0,15.4,82.0,8.1,94.1,7.7,73.3,6.1,66.0,9.6,61.4,7.1,55.0,11.6
79,47,Female,2.6,215.3,18.1,195.6,13.0,,,,,,,,,,,161.9,7.8,149.7,7.1,135.4,10.4,128.9,10.0,121.0,4.1,106.7,4.5,,,93.5,5.3,88.6,8.1
80,43,Male,27.3,173.1,39.0,,,,,,,,,,,,,,,129.7,16.0,115.1,10.9,82.9,14.0,96.2,7.9,92.8,5.9,,,73.5,7.2,,
81,20,Male,27.4,158.2,36.2,,,,,,,,,105.2,15.6,,,,,125.6,12.9,100.2,15.1,108.9,14.5,91.8,7.9,97.4,5.7,81.6,6.5,77.7,8.6,64.2,7.4
82,37,Female,15.6,167.0,31.7,167.3,31.0,,,,,,,137.9,13.7,,,,,,,118.5,14.5,107.4,8.8,103.9,8.5,96.0,3.8,,,82.5,5.9,73.2,10.5
83,54,Female,0.2,202.5,19.5,,,,,164.5,14.7,,,,,164.8,14.2,154.3,8.6,143.1,8.2,134.3,6.1,121.2,7.6,117.1,8.2,100.3,2.9,98.4,3.5,91.5,5.0,,
84,18,Male,25.2,177.1,26.9,152.9,31.5,,,,,,,,,,,149.2,10.4,121.4,20.0,115.9,14.7,115.3,14.2,,,80.4,9.1,90.6,9.8,81.8,6.4,63.9,6.6
85,33,Male,6.8,269.8,21.5,253.1,14.9,229.3,12.9,,,,,,,,,193.8,9.6,186.5,9.3,178.1,10.0,158.3,9.2,152.0,5.9,132.3,5.5,129.9,6.1,119.0,5.8,104.8,7.5
86,48,Male,23.0,147.6,26.1,166.0,24.0,,,,,,,,,,,,,131.9,11.8,109.7,8.4,106.0,14.0,106.8,7.1,88.2,8.9,,,78.3,8.4,77.1,10.8
87,22,Female,30.8,142.7,35.2,,,,,,,,,83.1,20.2,,,,,107.4,18.5,93.2,17.4,71.7,12.0,73.1,10.3,67.9,8.9,,,55.0,9.5,,
88,58,Female,13.0,192.4,29.0,143.0,24.8,145.8,25.4,,,,,114.7,15.3,,,,,102.1,12.7,121.7,9.2,90.4,6.9,86.2,8.4,59.1,6.9,74.0,5.3,70.6,8.1,,
89,36,Male,15.0,258.3,35.5,217.2,27.9,204.8,18.6,200.5,20.4,,,,,,,,,166.0,12.5,160.8,15.3,167.4,11.8,130.6,7.5,139.9,4.6,,,103.6,8.4,89.6,6.0
90,23,Male,4.9,281.9,17.8,249.3,18.7,236.2,15.7,222.2,15.8,,,,,,,199.2,10.7,188.2,12.2,176.2,8.9,164.2,5.1,152.2,6.4,142.1,6.8,,,121.1,3.6,,
91,28,Male,7.0,263.8,15.8,240.0,18.3,,,200.9,10.9,,,,,,,193.2,14.7,174.8,9.6,174.3,7.8,161.2,9.8,145.7,3.5,138.6,4.3,120.9,6.8,113.0,3.8,,
92,43,Female,3.7,223.9,17.5,195.0,20.7,,,,,,,,,179.0,13.9,165.4,8.3,159.5,12.0,137.0,11.5,128.0,10.3,121.1,5.4,112.8,3.4,102.9,4.5,95.6,5.4,,
93,46,Male,16.8,206.1,30.0,169.1,20.5,,,,,183.1,20.8,,,,,,,159.2,15.0,118.9,16.2,,,142.5,8.9,109.5,8.0,107.8,4.3,83.5,5.9,84.4,5.0
94,50,Male,21.8,204.3,29.7,174.5,30.2,,,151.7,18.3,,,,,,,,,122.9,11.5,108.6,14.5,100.9,9.2,102.5,9.7,102.4,9.0,83.9,6.9,79.7,9.8,,
95,56,Male,32.9,140.8,25.9,124.5,26.8,118.0,25.9,,,,,125.0,12.0,,,,,121.0,12.3,98.5,12.9,82.0,8.4,76.0,5.7,71.0,8.4,66.0,6.9,63.0,5.7,64.1,10.9
96,24,Female,12.0,177.4,19.7,,,,,152.4,20.7,,,,,,,,,139.5,15.4,117.9,10.3,,,116.7,4.8,99.2,4.7,,,86.3,5.7,,
97,32,Female,0.0,238.5,24.9,,,,,,,,,172.8,10.5,,,179.3,8.5,166.6,13.1,154.4,7.4,143.6,6.3,130.9,5.5,117.8,5.7,113.4,4.7,104.8,5.4,,
98,24,Male,24.8,207.2,20.8,171.2,31.0,,,,,,,123.3,20.6,,,,,136.5,14.9,108.5,9.6,,,102.3,6.4,105.0,7.5,89.4,9.2,90.9,8.9,69.7,11.1
99,48,Female,13.7,157.1,32.5,,,,,,,,,119.0,14.8,,,142.3,12.1,119.0,17.6,,,105.6,8.0,100.8,9.0,86.1,8.7,98.7,7.9,84.6,6.9,74.9,6.4
100,33,Male,28.4,140.8,27.6,135.3,33.7,,,,,,,101.0,18.7,,,,,116.2,17.8,88.0,9.6,113.9,11.5,114.6,5.8,93.6,4.2,,,72.3,7.2,,
101,39,Female,6.9,217.3,21.9,194.5,19.4,,,168.3,14.4,162.1,13.8,,,,,157.5,10.4,153.3,10.3,138.3,12.5,128.7,6.1,118.3,4.9,106.4,4.7,101.0,5.2,91.7,5.6,84.2,8.0
102,45,Male,4.5,280.6,17.3,,,,,212.9,13.5,197.0,10.4,,,,,198.4,10.2,191.1,8.1,168.5,6.4,160.7,5.4,141.8,7.9,131.9,6.8,130.8,6.9,108.6,5.6,104.8,3.9
103,48,Female,14.5,172.3,18.7,147.6,16.6,,,136.7,12.2,,,,,,,116.4,12.0,131.4,17.8,98.4,8.6,112.1,8.5,91.8,7.2,89.8,5.2,82.9,4.3,70.2,7.0,62.2,5.8
104,32,Female,8.6,209.4,21.6,182.6,23.6,175.4,14.9,173.2,17.8,,,,,,,162.2,12.8,149.0,9.9,129.0,8.0,124.9,6.1,114.8,4.4,102.2,5.8,,,90.7,7.0,88.6,4.0
105,19,Male,19.5,218.5,29.1,180.4,18.6,,,,,,,160.2,14.7,,,,,139.5,9.2,131.6,10.4,132.8,11.0,120.4,9.7,98.0,4.6,104.8,6.4,89.1,8.2,,
106,52,Male,30.6,142.5,30.4,,,121.2,23.6,,,,,,,,,,,109.4,14.2,106.3,14.8,85.9,7.5,76.0,5.0,79.5,8.8,,,75.4,5.8,55.4,10.1
107,30,Male,27.3,190.1,37.6,137.2,35.0,,,,,,,,,,,124.4,11.5,104.1,19.2,126.2,14.0,92.7,10.7,109.0,10.3,81.3,4.9,87.2,8.8,74.4,9.8,69.5,5.2
108,31,Male,8.5,272.1,15.3,240.3,17.3,226.0,18.3,,,,,,,,,190.6,8.8,181.9,13.9,164.5,12.1,158.5,5.3,140.8,7.3,133.1,6.0,,,115.5,4.4,110.8,5.1
109,54,Female,23.7,136.6,31.5,136.4,24.6,,,,,,,85.2,15.6,,,,,100.0,14.4,80.9,17.3,76.0,7.0,73.5,5.5,62.6,5.9,69.1,7.6,55.1,8.9,51.1,7.0
110,37,Male,19.1,208.7,29.9,179.9,16.6,,,,,,,,,,,,,145.3,16.6,,,114.9,11.2,113.7,9.9,95.3,4.8,93.1,8.0,89.0,6.5,,
111,29,Male,24.7,208.4,33.7,188.6,33.0,,,,,,,,,,,,,123.9,10.0,117.6,13.9,,,111.4,7.9,102.8,8.6,,,82.0,9.5,74.5,7.9
112,29,Male,30.0,170.3,32.5,160.4,26.8,151.0,19.8,,,,,107.9,17.3,,,,,107.7,14.3,113.7,12.9,93.6,13.2,,,79.7,4.9,80.3,4.9,74.7,6.2,64.9,5.6
113,51,Male,28.0,152.2,38.5,,,131.6,20.0,,,,,115.4,16.9,106.0,21.3,131.9,20.6,105.9,19.4,95.4,16.3,97.4,8.3,77.3,9.4,81.6,7.6,,,66.1,8.6,74.9,9.6
114,33,Male,6.1,276.2,25.7,246.3,19.1,,,220.8,9.1,,,198.2,14.4,205.7,15.4,195.3,13.2,184.9,9.5,171.1,11.2,163.4,5.0,148.9,8.1,140.2,4.8,129.8,5.3,118.2,6.5,109.3,6.2
115,59,Female,30.5,120.4,35.2,104.9,22.0,,,,,,,,,,,,,77.5,12.2,71.5,12.1,66.5,7.8,64.0,11.5,55.5,8.9,,,48.5,9.3,45.0,10.5
116,27,Male,12.6,216.1,23.5,196.0,18.8,,,,,,,,,,,185.6,9.7,169.7,9.3,,,153.1,10.3,135.8,5.2,120.3,8.0,,,101.6,6.4,,
117,39,Female,3.4,231.7,25.0,207.1,15.3,,,,,,,,,,,179.3,7.5,149.0,9.5,149.0,10.1,139.9,7.6,126.0,3.7,111.8,6.3,106.8,5.2,98.5,5.8,,
118,57,Male,21.1,180.8,39.5,125.3,22.3,141.7,15.5,147.5,14.2,,,103.4,20.3,,,,,133.0,15.3,,,104.5,14.0,78.2,6.0,80.2,4.7,81.1,9.8,71.8,5.1,76.2,7.9
119,41,Male,6.2,276.2,23.4,245.1,14.6,,,211.7,16.5,,,196.7,10.3,199.9,8.6,194.7,12.0,,,172.3,7.4,159.2,7.7,146.6,4.1,137.2,3.2,130.3,5.3,117.1,4.7,,
120,27,Male,29.7,202.1,33.3,143.4,25.7,,,,,,,110.8,10.9,,,136.6,12.2,118.5,11.6,,,125.1,12.6,,,71.0,4.9,66.0,7.6,71.6,8.4,,
121,51,Female,11.6,168.1,28.3,158.0,30.4,,,,,,,,,,,120.8,17.1,119.3,10.7,115.3,12.2,,,99.1,6.7,80.7,6.1,,,77.1,7.2,,
122,49,Female,2.9,199.7,21.9,185.9,17.7,,,161.0,17.3,,,,,,,155.7,7.7,151.0,8.5,124.7,11.4,125.5,6.4,118.9,4.9,102.8,6.9,98.6,4.9,94.2,6.0,87.6,5.3
123,57,Male,26.8,149.4,35.6,135.6,33.0,133.7,23.2,,,,,109.0,21.7,,,,,102.9,12.1,125.8,13.8,93.8,11.6,101.8,8.1,82.5,4.4,82.5,9.0,73.4,5.2,64.6,11.3
124,42,Male,30.7,144.5,39.4,,,,,116.1,22.7,,,,,,,99.5,11.0,123.1,12.9,105.4,17.7,91.5,11.0,76.0,10.4,80.4,6.5,77.3,8.7,60.5,8.3,55.0,11.9
125,46,Female,27.2,176.3,24.1,106.3,22.0,,,,,,,94.2,12.0,,,,,91.5,19.5,89.9,17.2,71.0,14.4,72.7,7.7,74.0,7.0,68.0,7.9,67.0,5.2,54.2,11.7
126,31,Male,4.3,284.6,26.5,251.7,15.5,,,224.4,13.5,,,,,,,201.1,10.3,190.0,11.1,177.9,10.9,165.8,6.3,153.6,5.3,143.5,5.2,,,122.3,4.4,,
127,38,Female,24.4,138.5,27.6,127.1,20.4,,,,,,,,,,,,,107.3,15.1,89.6,10.3,91.8,10.1,,,74.8,5.9,,,65.8,9.3,56.1,9.3
128,35,Male,15.0,230.5,20.7,,,,,,,,,,,,,,,142.1,12.1,125.7,12.8,130.0,9.8,,,135.6,4.2,99.2,5.0,107.9,8.9,,
129,48,Female,25.3,143.8,28.0,115.2,20.4,,,,,,,107.4,21.9,,,109.7,16.1,84.6,18.1,77.8,17.9,88.8,10.6,,,63.8,5.5,70.3,5.6,61.8,6.2,62.4,5.2
